Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Uqcrq	Uqcrq	531.18640250378	0.450969190109648	0.119932652335663	3.76018691596591	0.000169786447820787	0.00636408670196699
Rps24	Rps24	7902.3247968396	0.449949010713878	0.0823452272838749	5.46417838113112	4.6505570989935e-08	1.06616725306693e-05
Rps20	Rps20	13931.0695393905	0.449176939117352	0.080916485719604	5.55111773729106	2.83848826330273e-08	6.99545432490957e-06
Bola3	Bola3	547.121716693484	0.448882754024767	0.115888487615772	3.87340246869937	0.000107326369071008	0.00458018764632899
Pdcd5	Pdcd5	757.246795397026	0.448326931920776	0.110029269222406	4.07461519184097	4.60904951832537e-05	0.00237884869903934
Polr1d	Polr1d	1925.07470358506	0.448243309591666	0.0945537450169053	4.74061931139294	2.13065938305062e-06	0.000218792085397011
Atp5o	Atp5o	3286.36666609885	0.446800026912892	0.0867303834742689	5.15159750268427	2.58276885326075e-07	4.17392382876139e-05
Phpt1	Phpt1	496.022920992119	0.446542184389579	0.129192879293004	3.45639935291511	0.000547443604297401	0.0147450793747644
Prdx5	Prdx5	639.073650045954	0.445810060410925	0.12135965713011	3.67346176607084	0.000239286495443634	0.00821911593060398
Nhp2	Nhp2	2052.66779391361	0.444502783824361	0.0976822964298505	4.55049481912597	5.35199050255967e-06	0.000415473531075635
1110038F14Rik	1110038F14Rik	411.74756782348	0.443544007876407	0.12661862293619	3.50299187900607	0.000460063489425651	0.0128478920078132
Rpl21	Rpl21	2994.81149697956	0.442067272003123	0.0873203093511215	5.06259397485111	4.13590078576033e-07	5.82452999228934e-05
Rpl37	Rpl37	598.093840540048	0.441935810345869	0.121842197094332	3.62711622808079	0.000286604302929941	0.00935544774266014
Mzt2	Mzt2	644.880130338145	0.441732533364886	0.115590102434225	3.82154288353751	0.000132619346186174	0.00540232030869132
Gas8	Gas8	821.125357021751	0.441142618195172	0.107371654743606	4.10855750755243	3.98138071972448e-05	0.00212153789919156
Gadd45gip1	Gadd45gip1	340.847418366454	0.440409192586934	0.129785219541599	3.39336940017098	0.000690384698719264	0.0175860784495465
Faim	Faim	456.507154937332	0.439730173960725	0.123344451052535	3.56505842142373	0.000363775149570593	0.0110681957545275
Dmap1	Dmap1	894.683214725443	0.435922301154276	0.107541865628645	4.05351254235788	5.04542935262825e-05	0.00256380631743347
Phb2	Phb2	7230.49622144583	0.43555895482595	0.0772863666697168	5.6356505499516	1.74398708238139e-08	5.05653666415168e-06
Cdc26	Cdc26	844.530728596108	0.435190570504665	0.108322019207912	4.01756331433747	5.88030387473466e-05	0.00285556825601647
Rpl10a	Rpl10a	3979.60547623058	0.434587751411826	0.0827533551133215	5.25160279987085	1.50781340855638e-07	2.80453293991486e-05
Mif	Mif	5662.83895998535	0.433940734759981	0.0950983352900613	4.56307393222405	5.04100529928565e-06	0.000400759921293209
AI314976	AI314976	1693.1254856912	0.432705703057645	0.0852168249488589	5.07770271090626	3.82025827088323e-07	5.4579863817923e-05
Fkbp2	Fkbp2	356.688454576706	0.431887988806058	0.130105024807307	3.31953350338091	0.00090167984388789	0.0207681306099225
Srp14	Srp14	2505.46795147172	0.431148642297888	0.0915081392578107	4.7115879067674	2.45794028586985e-06	0.00024230375338105
Pdap1	Pdap1	4908.98174662882	0.43065963137534	0.0870170904849146	4.94913848504277	7.45426960595531e-07	9.48705489798325e-05
Rpl7a	Rpl7a	7068.70810018531	0.427821517530924	0.0798838089174642	5.35554730462275	8.52978262817247e-08	1.75180410726092e-05
Myl6	Myl6	1445.10331471022	0.426996764745778	0.100319815452219	4.25635516593578	2.07786534787654e-05	0.00128827651568346
Psmc3ip	Psmc3ip	850.282128542738	0.425242524832006	0.111376405342382	3.81806652427655	0.00013450166106653	0.00545645010203233
Ruvbl1	Ruvbl1	2223.83512843233	0.424133287457378	0.094493028853482	4.48851404811064	7.17216953902837e-06	0.000539719445158333
Mrpl2	Mrpl2	573.65486214449	0.423295485625718	0.114773579979189	3.68809168192254	0.000225942244578742	0.00789836399665687
Krtcap2	Krtcap2	750.720332357833	0.420025993174315	0.122231977372713	3.43630203979732	0.000589713136278406	0.0156273981113778
Rps17	Rps17	1243.53544463363	0.418499821553125	0.113348262499962	3.69215912377364	0.000222358263759403	0.0078849200148928
Psma7	Psma7	5756.71849777311	0.417419864829772	0.0818870550561079	5.09750734769692	3.44155061622142e-07	5.21950861149396e-05
Ndufaf2	Ndufaf2	743.358496263762	0.417377200742043	0.119597815956298	3.48983965471876	0.000483310443424845	0.0134210545106539
Aurkaip1	Aurkaip1	1093.50715041687	0.417025409023975	0.0977561725671918	4.26597521233083	1.99030878876536e-05	0.00124180152149677
Nudc	Nudc	3024.11791227737	0.416841197999343	0.0893502071215077	4.66525161416222	3.08239629002533e-06	0.00028398376286981
Cox4i1	Cox4i1	3443.36036238072	0.415666074945774	0.0830754342722724	5.00347760546716	5.63052097696461e-07	7.70912163762737e-05
2410015M20Rik	2410015M20Rik	1135.21862975974	0.41543157894492	0.126224895027753	3.29120161956625	0.000997603852631601	0.0221495017550503
Gins2	Gins2	2303.22320393178	0.414022682054078	0.0908770449131326	4.55585546878019	5.21728026855174e-06	0.000411455591099064
E130303B06Rik	E130303B06Rik	494.500462475171	0.413056965732702	0.119278218572991	3.46297061336422	0.000534246740177527	0.0145085519687881
Mvk	Mvk	841.552296878139	0.412905582363239	0.108763781219317	3.79635185292642	0.000146841047144367	0.00579023617099669
Rps6	Rps6	10922.8078298709	0.412168389185071	0.0775921179657386	5.31198786669371	1.08435824879204e-07	2.13792072331838e-05
Park7	Park7	1827.3455410398	0.411968030756016	0.103538018385218	3.97890588579037	6.92331381295709e-05	0.0032345984629446
Ndufb9	Ndufb9	944.533467442054	0.411286739564158	0.106170935654142	3.87381666206604	0.000107144029371537	0.00458018764632899
Dgcr6	Dgcr6	788.763553973961	0.411270387453036	0.115543980217883	3.55942721271587	0.000371664521569665	0.0112734426265654
Elof1	Elof1	1694.66820598865	0.4105054612563	0.0931886486462019	4.40510155710935	1.0573433024964e-05	0.000750055873460471
2700094K13Rik	2700094K13Rik	5625.81366539571	0.409679309857837	0.0901675270712682	4.5435349417316	5.53186306491594e-06	0.000426039891358917
Stoml2	Stoml2	2738.88461597897	0.409481951731715	0.0847045879796998	4.83423580113335	1.33658082357452e-06	0.000148045098413457
Psmc5	Psmc5	8893.23755729673	0.409013480803465	0.0730075141692588	5.60234772348526	2.11467791125264e-08	5.7906930136468e-06
Rps3	Rps3	15721.7222531797	0.408674555446969	0.0916155504119318	4.46075533694272	8.16712873881717e-06	0.000596381889683405
Polr2i	Polr2i	324.762411859345	0.408618753882309	0.131501325935444	3.1073356179154	0.00188781942319278	0.033592281360712
Ccdc72	Ccdc72	1406.00421800634	0.407868997948281	0.111401992717897	3.66123610536418	0.000251001312179229	0.0085102585583213
Rps29	Rps29	1273.78884114689	0.407142856940691	0.12101762744051	3.3643268799071	0.000767306055966542	0.0189576518789929
Zfp428	Zfp428	518.453193436248	0.405730098797917	0.125200910457458	3.24063217524109	0.00119264966670882	0.0246480931119824
Gtf2h5	Gtf2h5	740.905307098104	0.405452666206829	0.107275105845744	3.77955969383846	0.000157105926918857	0.0060029078587833
Fam173b	Fam173b	332.885373589955	0.404711919715587	0.129542214041939	3.12417016112262	0.00178307308152493	0.0323843758019624
Rpl37a	Rpl37a	1840.64845156949	0.403491762476225	0.0945176079456943	4.26895867601785	1.96387644580598e-05	0.00123522639329711
Rpl35	Rpl35	4555.59405006003	0.402498953946405	0.0962490160507174	4.18185006415351	2.89146633042062e-05	0.00168663166185127
Sart1	Sart1	3333.14608251726	0.402251066620292	0.0833984623681139	4.8232432013529	1.41242578519306e-06	0.000154707704338147
Txn2	Txn2	4043.66934287523	0.400075672312757	0.0855152564359812	4.67841282347394	2.89104036355437e-06	0.000274088898125814
Nosip	Nosip	1236.48766939773	0.399850297494761	0.105537040127464	3.78872002674924	0.000151425446689616	0.00589721133221197
Ddah2	Ddah2	3917.601031316	0.399536764660752	0.0960684103807375	4.15887764851434	3.19815138648677e-05	0.00180156436388495
Csrp2	Csrp2	2195.57694034542	0.398575314608569	0.0931713014261497	4.27787643306123	1.88684706054412e-05	0.00122371962650289
Obfc2b	Obfc2b	1173.46027701856	0.398547199626518	0.10225726979152	3.89749501858468	9.71928209279654e-05	0.00425834146092392
Gtf2f1	Gtf2f1	977.025084287176	0.398447657067806	0.100693429388218	3.95703731106042	7.58850816632274e-05	0.00347941923272603
Cmc1	Cmc1	498.328328838552	0.398395719530158	0.126218425311253	3.15639906414391	0.00159730159983893	0.0303394974397152
Ict1	Ict1	913.899342351687	0.398042253330846	0.108021979350048	3.68482651147299	0.000228858473014166	0.00793004013734755
Mettl21d	Mettl21d	836.717981559951	0.39800165689471	0.124498209736182	3.1968464264514	0.00138938877298274	0.027614101863032
Cks1b	Cks1b	3599.8043739435	0.397762366948694	0.08469908939262	4.69618232971642	2.65068953134033e-06	0.000258717796039138
Rnaseh2c	Rnaseh2c	386.970998404576	0.397215105126221	0.129031402210276	3.07843748360495	0.00208089184939621	0.0356135969641455
Akt1s1	Akt1s1	1397.82808587711	0.396209168854494	0.0972188599734983	4.0754352495236	4.59283610831095e-05	0.00237884869903934
Hddc2	Hddc2	435.433231137817	0.3959783219902	0.122012540194482	3.24539036199909	0.00117289719718834	0.0245486636303241
Pih1d1	Pih1d1	641.607982359529	0.394835871853796	0.114413351686906	3.45095975279415	0.00055859686308577	0.0150044901261567
Jund	Jund	2398.97141074939	0.39464549987515	0.0923199406869157	4.27475902755949	1.91344132399677e-05	0.00123181137912536
Prrx2	Prrx2	294.059863536338	0.394429853308048	0.13412945582458	2.94066542567577	0.00327508071276297	0.0477599787964753
Mea1	Mea1	1054.76977918852	0.393923781636212	0.103407664778024	3.80942536979063	0.000139290141802869	0.00560458048119463
Nudt14	Nudt14	268.503409122277	0.393345300379297	0.131156873217498	2.99904450853301	0.00270827739860975	0.0421107233367427
Cks2	Cks2	527.986341432399	0.393111045613223	0.120490256925116	3.26259612723325	0.00110396725263341	0.0237618104289523
Scnm1	Scnm1	392.216996349924	0.392614448051645	0.12574232030759	3.12237317628014	0.00179399380607538	0.0324498916335617
Cope	Cope	1450.79346677862	0.392549607917975	0.101863569847342	3.85368005957646	0.000116355621596345	0.00492289149226082
Cox6a1	Cox6a1	2149.42021897794	0.391642585771436	0.0936215897183953	4.18325075390686	2.87370122266862e-05	0.00168624682458734
Psmb5	Psmb5	933.335271987961	0.391406693822349	0.102342046414114	3.82449547899964	0.000131040150523618	0.00538247418275761
Fis1	Fis1	1707.90838706074	0.39123653168849	0.097761835186072	4.00193522292049	6.28265010076848e-05	0.00300652255793086
Med11	Med11	918.571645847855	0.390915633813835	0.121569925304087	3.21556201368081	0.00130189362647164	0.0264075460283074
Rcn3	Rcn3	1281.92210609597	0.389733813033782	0.103813096915891	3.75418732907605	0.000173904773435435	0.00649376233532772
Psma2	Psma2	4389.64435707911	0.389384004466913	0.0868871803598068	4.48148970716327	7.4123808451237e-06	0.000549407897528041
3110082I17Rik	3110082I17Rik	1034.60941579907	0.388503464714613	0.11262893858826	3.44941068951094	0.00056181153852716	0.0150090464682947
